Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
In O x,{'x': []},,2.8,0.0,films,,10.1103/physrevb.99.054515
In O,{},"{'In': 1, 'O': 1}",2.0,0.0,films,,10.1134/1.568304
Pr Ru 2 Si 2,{},"{'Pr': 1, 'Ru': 2, 'Si': 2}",14.0,0.0,,,10.1088/0953-8984/12/34/307
Lu 3 Os 4 Ge 13,{},"{'Lu': 3, 'Os': 4, 'Ge': 13}",2.85,0.0,,,
La Mn O 3.04,{},"{'La': 1, 'Mn': 1, 'O': 3.04}",125.0,0.0,,,10.1103/physrevlett.87.127206
La Mn O 3.045,{},"{'La': 1, 'Mn': 1, 'O': 3.045}",130.0,0.0,,,10.1103/physrevlett.87.127206
(Li 1-x Fe x) O H Fe Se,{'x': []},,40.0,0.0,,,10.1007/s11433-016-5782-z
(Li 1-x Fe x) O H Fe Se,{'x': []},,50.0,0.0,crystal,,10.1007/s11433-016-5782-z
Fe 1+x Se,{'x': []},,8.0,0.0,single crystal,,10.1007/s11433-016-5782-z
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,film,,10.1007/s11433-016-5782-z
S C F s,{'s': []},,29.0,0.0,,,10.1103/physrevb.93.024519
(Li 1-x Fe x O H) Fe Se,{'x': []},,40.0,0.0,,,10.1038/s41598-019-40536-3
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.2,0.0,,,10.7566/jpsj.89.034712
Ba Fe 1.9 Ni 0.1 As 2,{},"{'Ba': 1, 'Fe': 1.9, 'Ni': 0.1, 'As': 2}",20.0,0.0,,,10.1103/physrevb.98.014512
La H 10,{},"{'La': 1, 'H': 10}",260.0,170.0,,,10.1021/acs.inorgchem.9b02709
Sc 20 B C 27,{},"{'Sc': 20, 'B': 1, 'C': 27}",7.7,0.0,,,10.1021/acs.inorgchem.9b02709
H 3 S,{},"{'H': 3, 'S': 1}",203.0,170.0,,,10.1021/acs.inorgchem.9b02709
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1021/acs.inorgchem.9b02709
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",18.0,0.0,,,10.1103/physrevb.65.224510
V 3 Si,{},"{'V': 3, 'Si': 1}",17.0,0.0,,,10.1103/physrevb.65.224510
Y 0.54 Pr 0.46 Ba 2 Cu 3 O 71-δ4,{'δ': []},,38.0,0.0,,,10.1103/physrevb.73.144510
Fe Se 1-x,{'x': []},,8.0,0.0,,,10.1016/j.jmmm.2012.02.065
Fe Se 1-x,{'x': []},,37.0,9.0,,,10.1016/j.jmmm.2012.02.065
Sr 4 Sc 2 Fe 2 As 2 O 6,{},"{'Sr': 4, 'Sc': 2, 'Fe': 2, 'As': 2, 'O': 6}",37.2,0.0,,,
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,
La Fe 2 As 2,{},"{'La': 1, 'Fe': 2, 'As': 2}",12.1,0.0,,,10.1103/physrevresearch.1.033025
Cu (N (C N) 2) Br or Cu (S C N) 2,"{'o': [], 'r': []}",,10.0,0.0,,,10.1103/physrevlett.81.4232
Eu Fe 2 As 2,{},"{'Eu': 1, 'Fe': 2, 'As': 2}",32.0,0.0,,,10.1140/epjb/e2013-40483-6
Eu 0.2 Sr 0.8 (Fe 0.86 Co 0.14) 2 As 2,{},"{'Eu': 0.2, 'Sr': 0.8, 'Fe': 1.72, 'Co': 0.28, 'As': 2}",20.0,0.0,single crystal,,10.1140/epjb/e2013-40483-6
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1142/9789814704090_0002
Ce Fe As O 1-x F x,{'x': [0.16]},"{'Ce': 1, 'Fe': 1, 'As': 1, 'O': 0.84, 'F': 0.16}",41.0,0.0,,,10.1142/9789814704090_0002
La O Fe P,{},"{'La': 1, 'O': 1, 'Fe': 1, 'P': 1}",3.2,0.0,,,10.1007/s10948-019-05209-2
Nd Fe As 0.95 Sb 0.05 O 0.8 F 0.2,{},"{'Nd': 1, 'Fe': 1, 'As': 0.95, 'Sb': 0.05, 'O': 0.8, 'F': 0.2}",56.0,0.0,,,10.1007/s10948-019-05209-2
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1007/s10948-019-05209-2
Nd Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1007/s10948-019-05209-2
Nd Fe As O 0.8 F 0.2,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",56.0,0.0,,,10.1007/s10948-019-05209-2
Nd Fe As O 0.8 F 0.2,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",46.0,0.0,,,10.1007/s10948-019-05209-2
Nd Fe As O 1-x F x,{'x': []},,51.9,0.0,,,10.1007/s10948-019-05209-2
Cu x Bi 2 Se 3,{'x': []},,3.8,0.0,,,10.1103/physrevb.86.180505
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",36.0,0.0,,,10.1103/physrevb.90.174502
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",55.0,0.0,,,10.1103/physrevb.90.174502
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",55.0,0.0,,,10.1103/physrevb.90.174502
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",15.0,0.0,,,10.1103/physrevb.90.174502
Na Fe As,{},"{'Na': 1, 'Fe': 1, 'As': 1}",54.0,0.0,,,10.1103/physrevb.90.174502
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",55.0,0.0,,,10.1103/physrevb.90.174502
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",55.0,0.0,,,10.1103/physrevb.90.174502
(Ba 0.6 K 0.4) Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",36.0,0.0,,,10.1103/physrevb.90.174502
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",15.0,0.0,,,10.1103/physrevb.90.174502
Pr Os 4 Sb 12,{},"{'Pr': 1, 'Os': 4, 'Sb': 12}",1.85,0.0,,,10.1143/jpsj.75.124702
Pr Os 4 Sb 12,{},"{'Pr': 1, 'Os': 4, 'Sb': 12}",0.74,0.0,,,10.1143/jpsj.75.124702
La Os 4 Sb 12,{},"{'La': 1, 'Os': 4, 'Sb': 12}",0.74,0.0,,,10.1143/jpsj.75.124702
