mp_id,formula,composition,crystal_system,symmetry_symbol,volume,density,e_fermi,formation_energy_per_atom,band_gap,bandgap_direct
mp-1005,FeP,"{'Fe': 1, 'P': 1}",Orthorhombic,Pnma,90.58386212379064,6.366076368783321,9.16314288,-0.598422956666667,0.0,False
mp-1006367,Ce2HfSe5,"{'Ce': 2, 'Hf': 1, 'Se': 5}",Orthorhombic,Pnma,785.754385322132,7.2150109585275475,6.18106693,-1.9414627911523432,0.0,False
mp-1001606,LuFeC2,"{'Lu': 1, 'Fe': 1, 'C': 2}",Orthorhombic,Amm2,45.91984381163307,9.215205912074623,5.530327,-0.28607566875000057,0.0,False
mp-1001613,LuGa,"{'Lu': 1, 'Ga': 1}",Orthorhombic,Cmcm,87.81931782766293,9.2534834990113,3.09095218,-0.6086213862499994,0.0,False
mp-1008624,YBiPd,"{'Y': 1, 'Bi': 1, 'Pd': 1}",Cubic,F-43m,74.98787663326647,8.952998179677907,5.39780398,-0.9613840988888889,0.0,False
mp-10058,YbCo3B2,"{'Yb': 1, 'Co': 3, 'B': 2}",Hexagonal,P6/mmm,61.68648344242831,9.999378132963885,5.19454453,-0.4132152405555563,0.0,False
mp-1007692,HfPd,"{'Hf': 1, 'Pd': 1}",Orthorhombic,Cmcm,73.46188512781328,12.880262591733706,5.46304315,-0.6887084975000004,0.0,False
mp-10065,UFe3B2,"{'U': 1, 'Fe': 3, 'B': 2}",Hexagonal,P6/mmm,62.40572797024739,11.366887549076683,9.09673064,-0.42229158972222197,0.0,False
mp-1009543,DyBiPd,"{'Dy': 1, 'Bi': 1, 'Pd': 1}",Cubic,F-43m,74.40544810010178,10.665513136566691,5.3691487,-0.9565077333333333,0.0,False
mp-10999,LuGeIr,"{'Lu': 1, 'Ge': 1, 'Ir': 1}",Orthorhombic,Pnma,213.0532778197857,13.711968046716498,6.45626717,-0.9581080216666665,0.0,False
mp-1080489,HfGeRu,"{'Hf': 1, 'Ge': 1, 'Ru': 1}",Hexagonal,P-62m,145.29361983257706,12.075723488693537,7.12509157,-0.7512080072222224,0.0,False
mp-1078859,Er6MnTe2,"{'Er': 6, 'Mn': 1, 'Te': 2}",Hexagonal,P-62m,237.97404417572977,9.166701224749042,5.00190607,-0.6735072834738184,0.0,False
mp-1077922,Tl2Rh3S2,"{'Tl': 2, 'Rh': 3, 'S': 2}",Trigonal,R-3m,132.0002139862908,9.832552905187931,6.0105217,-0.4550425018452375,0.0,False
mp-1094909,Mg2Cd,"{'Mg': 2, 'Cd': 1}",Orthorhombic,Cmcm,255.25152240917305,4.190089187626951,3.66509507,-0.0971028666666666,0.0,False
mp-1095137,UFeC2,"{'U': 1, 'Fe': 1, 'C': 2}",Tetragonal,P4/nmm,91.81497870917268,11.49872469101124,10.73323377,-0.14457421250000024,0.0,False
mp-1102078,DyNi3,"{'Dy': 1, 'Ni': 3}",Trigonal,R-3m,172.1816062255892,9.795918302805646,6.24078769,-0.41487105083333375,0.0,False
mp-1077785,HoAlGe,"{'Ho': 1, 'Al': 1, 'Ge': 1}",Orthorhombic,Cmcm,119.17614336411995,7.372258976442054,5.87111038,-0.6481089649999999,0.0,False
mp-1080132,EuHg3,"{'Eu': 1, 'Hg': 3}",Hexagonal,P6_3/mmc,209.03363515088023,11.9751517684824,2.7137632,-0.42466644500000017,0.0,False
mp-1005755,SmGe2Pt,"{'Sm': 1, 'Ge': 2, 'Pt': 1}",Orthorhombic,Immm,316.6449136876802,10.29375603641566,6.26342905,-0.8951970943749998,0.0,False
mp-1005693,Sm2InHg,"{'Sm': 2, 'In': 1, 'Hg': 1}",Cubic,Fm-3m,110.05242884828867,9.296520074413918,4.37609426,-0.47371601125000007,0.0,False
mp-1002104,LaPt,"{'La': 1, 'Pt': 1}",Orthorhombic,Cmcm,101.14638046802109,10.966335329090185,8.0443727,-1.1824402775000005,0.0,False
mp-1005829,Sm2Mn12P7,"{'Sm': 2, 'Mn': 12, 'P': 7}",Hexagonal,P-6,273.3202932983368,7.149525990155896,7.60426491,-0.6796924961193224,0.0,False
